mean,scale
2.473630222222222365e+05,6.808530902033904567e+03
7.068734444444444671e+04,1.763043335706824564e+03
1.625871811111111194e+06,3.205778847830705490e+04
1.783111111111111091e+00,5.667728223007569843e-01
1.579166666666667052e+00,1.477756369936834291e-01
1.502666666666666817e+00,5.083306010855539320e-02
1.233968027777777752e+06,5.445561328758336604e+05
4.443888888888888999e+01,2.910066606509375209e+00
3.264290000000000000e+07,1.000000000000000000e+00
2.484508315555555373e+07,1.062380154056510946e+05
8.388604000000000000e+06,1.000000000000000000e+00
8.388604000000000000e+06,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
